iter	Passed	Remaining
321	2263	1251
322	2270	1244
323	2277	1237
324	2284	1230
325	2291	1222
326	2297	1215
327	2304	1208
328	2311	1201
329	2317	1193
330	2323	1186
331	2330	1179
332	2337	1172
333	2344	1165
334	2351	1158
335	2357	1150
336	2364	1143
337	2371	1136
338	2379	1130
339	2385	1122
340	2392	1115
341	2399	1108
342	2406	1101
343	2413	1094
344	2420	1087
345	2426	1080
346	2433	1072
347	2439	1065
348	2446	1058
349	2452	1051
350	2459	1044
351	2466	1037
352	2472	1029
353	2480	1022
354	2487	1015
355	2494	1009
356	2502	1002
357	2509	995
358	2517	988
359	2524	981
360	2531	974
361	2539	967
362	2545	960
363	2553	953
364	2560	946
365	2567	939
366	2574	932
367	2581	926
368	2589	919
369	2596	912
370	2602	905
371	2610	898
372	2617	891
373	2625	884
374	2632	877
375	2639	870
376	2646	863
377	2653	856
378	2660	849
379	2667	842
380	2674	835
381	2681	828
382	2688	821
383	2695	814
384	2701	807
385	2708	800
386	2715	792
387	2722	785
388	2729	778
389	2736	771
390	2744	765
391	2750	757
392	2757	750
393	2764	743
394	2773	737
395	2781	730
396	2788	723
397	2796	716
398	2804	709
399	2811	702
400	2818	695
401	2826	689
402	2834	682
403	2840	675
404	2848	668
405	2854	660
406	2861	653
407	2868	646
408	2875	639
409	2883	632
410	2890	625
411	2897	618
412	2904	611
413	2912	604
414	2919	597
415	2926	590
416	2934	583
417	2941	576
418	2947	569
419	2955	562
420	2962	555
421	2968	548
422	2975	541
423	2982	534
424	2990	527
425	2996	520
426	3003	513
427	3010	506
428	3017	499
429	3024	492
430	3031	485
431	3039	478
432	3046	471
433	3053	464
434	3060	457
435	3067	450
436	3073	443
437	3079	435
438	3087	428
439	3093	421
440	3100	414
441	3107	407
442	3113	400
443	3120	393
444	3127	386
445	3133	379
446	3140	372
447	3146	365
448	3153	358
449	3159	351
450	3165	343
451	3172	336
452	3179	329
453	3186	322
454	3193	315
455	3202	308
456	3208	301
457	3214	294
458	3221	287
459	3228	280
460	3235	273
461	3242	266
462	3249	259
463	3255	252
464	3262	245
465	3269	238
466	3277	231
467	3285	224
468	3293	217
469	3300	210
470	3307	203
471	3314	196
472	3321	189
473	3327	182
474	3335	175
475	3342	168
476	3349	161
477	3356	154
478	3362	147
479	3370	140
480	3378	133
481	3385	126
482	3393	119
483	3400	112
484	3408	105
485	3416	98
486	3423	91
487	3431	84
488	3438	77
489	3446	70
490	3454	63
491	3461	56
492	3469	49
493	3476	42
494	3484	35
495	3491	28
496	3498	21
497	3505	14
498	3512	7
499	3520	0
