iter	RMSE
224	0.5900738806
225	0.5899969604
226	0.589873794
227	0.5897937682
228	0.5897015239
229	0.5896273883
230	0.5895598115
231	0.5894600182
232	0.5893806569
233	0.5893557666
234	0.5892690286
235	0.5892262666
236	0.5891379097
237	0.589104418
238	0.5890445022
239	0.5889642982
240	0.5889283939
241	0.5888704183
242	0.5888324642
243	0.5887838772
244	0.5887758417
245	0.5886821741
246	0.5885926267
247	0.5885386297
248	0.5884644971
249	0.588450542
250	0.588369764
251	0.5883407356
252	0.5882831004
253	0.5882194698
254	0.5881599969
255	0.5880445368
256	0.5880314782
257	0.5879790909
258	0.5879295649
259	0.5879209195
260	0.587845
261	0.5878238039
262	0.5877450676
263	0.5877054653
264	0.5876938491
265	0.5876515424
266	0.5875953507
267	0.5875425857
268	0.5874607092
269	0.5873729501
270	0.5873349802
271	0.5873012323
272	0.5872374342
273	0.5871610229
274	0.5871076038
275	0.5870304047
276	0.586961289
277	0.5869247948
278	0.5868436541
279	0.5867889864
280	0.5867403007
281	0.5867367653
282	0.5866806849
283	0.58663013
284	0.5865448337
285	0.5864832596
286	0.5864272016
287	0.586366654
288	0.5863058222
289	0.5863040164
290	0.5862148033
291	0.5861655107
292	0.5861084578
293	0.5860496241
294	0.5859601943
295	0.585901039
296	0.5858262755
297	0.5858230264
298	0.5857578235
299	0.5857150682
300	0.5856860407
301	0.5856755636
302	0.5856686514
303	0.5856349442
304	0.5855824171
305	0.5855230382
306	0.5855049171
307	0.5854472599
308	0.5853849102
309	0.5853476744
310	0.5852601364
311	0.5852429843
312	0.5852282642
313	0.5851965703
314	0.5851614448
315	0.5851041417
316	0.5850438988
317	0.5849947503
318	0.5849291881
319	0.5849026512
320	0.5848418076
321	0.5848004945
322	0.5847571525
323	0.5847209796
324	0.5846536437
325	0.5846336031
326	0.5846008907
327	0.5845389847
328	0.5844962385
329	0.5844466235
330	0.5844001067
331	0.5843402519
332	0.5842875816
333	0.584231424
334	0.5841830084
335	0.5841468112
336	0.5841226017
337	0.5840250727
338	0.5839779256
339	0.5839620686
340	0.5839140067
341	0.5838905815
342	0.5838317989
343	0.583775743
344	0.5836980963
345	0.5836440346
346	0.5835485156
347	0.5835259203
348	0.5834539781
349	0.5833799476
350	0.5833198244
351	0.5832836719
352	0.5832540663
353	0.5832159414
354	0.5831759389
355	0.5831181095
356	0.5830926154
357	0.5830234865
358	0.582981882
359	0.582910644
360	0.5828404602
361	0.5827915007
362	0.5827453757
363	0.582702795
364	0.5826876477
365	0.5826390038
366	0.582626477
367	0.5825250613
368	0.5824298913
369	0.5823968928
370	0.5823677576
371	0.582320418
372	0.5822964959
373	0.5822039296
374	0.582090449
375	0.5820412948
376	0.5819668038
377	0.5819054282
378	0.5818399483
379	0.5817896717
380	0.5817266465
381	0.5816711754
382	0.5816003192
383	0.5815527664
384	0.5814884183
385	0.5814424363
386	0.5813805068
387	0.5813583095
388	0.5813269954
389	0.5812976471
390	0.5812492262
391	0.5812096986
392	0.5811290952
393	0.5810633627
394	0.5810092543
395	0.5809648604
396	0.5809588212
397	0.5808834962
398	0.5808316442
399	0.5808164816
400	0.5807868953
401	0.5807188063
402	0.58065206
403	0.5806444774
404	0.5805562361
405	0.5805317488
406	0.5804837402
407	0.5804437991
408	0.580389785
409	0.5803567599
410	0.5803046294
411	0.5802397085
412	0.5801478625
413	0.580068584
414	0.5799984973
415	0.5799829648
416	0.5799296671
417	0.5798523151
418	0.5798419883
419	0.5797546751
420	0.5797034206
421	0.5796877465
422	0.5796402003
423	0.5796099205
424	0.5795537983
425	0.5794842589
426	0.579464287
427	0.5794051398
428	0.5793414186
429	0.5793009403
430	0.5792451444
431	0.5791922098
432	0.5791106216
433	0.579098595
434	0.5790621905
435	0.5790366086
436	0.5790085137
437	0.578996613
438	0.5789431712
439	0.5789269603
440	0.5789076583
441	0.5788394575
442	0.5788174766
443	0.5787646715
444	0.5787310555
445	0.5786981094
446	0.5786452536
447	0.5785952673
448	0.5785722905
449	0.5785307162
450	0.5785251327
451	0.5784901088
452	0.5784651474
453	0.5784049674
454	0.5783575091
455	0.5783143067
456	0.5782768505
457	0.578220191
458	0.578189272
459	0.5781400884
460	0.5780566429
461	0.5780423586
462	0.5780103192
463	0.5779799733
464	0.5779647457
465	0.577945616
466	0.5778945533
467	0.5778809513
468	0.5778067925
469	0.5777758664
470	0.5777073408
471	0.5776800123
472	0.5776206107
473	0.57760145
474	0.5775632851
475	0.5775263063
476	0.5774818063
477	0.5774487779
478	0.577431138
479	0.5773642079
480	0.5773141146
481	0.57730538
482	0.5772677239
483	0.5772368186
484	0.5771920061
485	0.577146301
486	0.5771259275
487	0.5771073913
488	0.5770598912
489	0.5770334002
490	0.5769726825
491	0.5769162425
492	0.5768594839
493	0.5767593786
494	0.5767073838
495	0.5766775516
496	0.5766276229
497	0.5765824566
498	0.5765478659
499	0.5765143723
